battery_id,global_id,dataset_id,local_id,policy,C1,Q1,C2,initial_capacity,mean_chargetime,mean_IR,mean_Tavg,prediction_test,C1_missing,baseline_capacity_cycles_1_5,baseline_soh_cycles_1_5,flag_initial_soh_baseline_outlier,initial_soh_baseline_robust_z
12,97,3,3,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0632137,10.1973217061611,0.0148276764976303,38.7783848292256,0,0,1.0610899,0.998002471187119,0,0.439994573274748
13,98,3,4,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0655342,10.1874366906044,0.0151619419335727,37.7013361874169,0,0,1.0632294,0.997836953520591,0,0.261036043272729
14,99,3,5,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.075265,10.2384849761222,0.0152648863094556,32.9485474141625,1,0,1.0730443,0.997934741668333,0,0.366765078357966
15,100,3,6,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0540558,10.1995672108021,0.0152410719250302,35.8915947953535,0,0,1.0520495,0.998096590332315,0,0.541756664431291
16,101,3,7,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31,5.9,1.0630716,10.8382723823823,0.0143967801201201,35.1956998849954,1,0,1.0629802,0.999914022724339,0,2.50677366882145
17,102,3,8,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8,1.070919,11.1726831852861,0.0156475541106267,33.488542659486,0,0,1.0682656,0.997522314946322,0,-0.079152759011517
18,103,3,9,5C_67PER_4C_NEWSTRUCTURE,5,67,4,1.0687144,10.182849490125,0.0152228917122128,34.2778011753314,0,0,1.0656182,0.997102874257145,0,-0.532654132808086
19,104,3,10,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4,1.0733707,10.2038060613359,0.0160801557148362,33.8440951926936,0,0,1.0703384,0.997174974125901,0,-0.454699393615959
20,105,3,11,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8,1.0650008,11.2108420194987,0.0154884690352832,33.4928467555288,0,0,1.0624784,0.997631551074891,0,0.038953890278288
21,106,3,12,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0707607,10.2959345772059,0.0156314659215686,35.5207162074213,0,0,1.0686512,0.998029905281357,0,0.469656453361929
22,107,3,13,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.076943,10.2544309470103,0.0161958683576799,34.2100576161686,0,0,1.0748765,0.998081142641718,0,0.525054543992926
23,108,3,14,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0696447,10.2880135787321,0.0151389205361963,35.4451970897155,0,0,1.0665193,0.997078095184317,0,-0.559445390449374
24,109,3,15,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0777442,10.2485632672112,0.0155812685682614,34.2253189468104,1,0,1.0742604,0.996767507540287,0,-0.895254306671521
25,111,3,17,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8,1.0643399,11.1423314253717,0.0153314431325596,36.2924566578661,1,0,1.0615807,0.997407595073717,0,-0.203188459816667
26,112,3,18,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4,1.069051,10.156982147387,0.0157023014520548,36.3732818978054,0,0,1.0671474,0.998219355297362,0,0.674490759476595
27,113,3,19,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0701538,10.2198757714701,0.0151870220279476,36.8258501633071,0,0,1.0685793,0.998528716152762,0,1.00897326568804
28,114,3,20,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0738997,10.2056660384171,0.0157107922400347,36.4354554222638,0,0,1.0726638,0.998849147643863,0,1.35542539866299
29,115,3,21,5C_67PER_4C_NEWSTRUCTURE,5,67,4,1.0681109,10.1844151334154,0.0153900020837438,34.2488122883073,0,0,1.065752,0.997791521460927,0,0.211914672829705
30,116,3,22,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31,5.9,1.0686967,10.8033723951577,0.0147235309442283,36.6638177137284,0,0,1.0680218,0.999368483125287,0,1.91693352213401
31,119,3,25,5C_67PER_4C_NEWSTRUCTURE,5,67,4,1.0511289,10.1645542677994,0.0156254359247573,36.0629472851473,0,0,1.0472243,0.996285327137328,0,-1.41659017322374
32,120,3,26,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4,1.0654705,10.1516542560729,0.0158067213299595,37.0596551133752,0,0,1.061978,0.996722105398507,0,-0.944343329748105
33,121,3,27,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0758095,10.2456923677378,0.0158283227020448,37.351300097473,0,0,1.0725763,0.996994635202608,0,-0.649682740660544
34,122,3,28,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0644526,10.2173661484099,0.0150317367102474,36.7827816190045,0,0,1.0613309,0.997067318920542,0,-0.571096740812983
35,123,3,29,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31,5.9,1.0526985,10.9003622808642,0.0142349387518519,37.5017204295249,0,0,1.0522791,0.999601595328577,0,2.16897560381255
36,125,3,31,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4,1.0723398,10.1718277480371,0.0156827995835118,33.1446326677589,0,0,1.0696324,0.997475240590716,0,-0.130049788052418
37,128,3,34,5C_67PER_4C_NEWSTRUCTURE,5,67,4,1.0629164,10.1144099012732,0.0154549562766952,34.074108795871,0,0,1.0607876,0.997997208435207,0,0.434304459550702
38,129,3,35,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4,1.0642781,10.1409416436186,0.0155329390216076,37.3183949827542,0,0,1.0620755,0.997930428146553,0,0.362101277006304
39,130,3,36,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0654298,10.2255189026251,0.0155038318296703,37.1445099087198,0,0,1.0637906,0.998461465973638,0,0.936262035214059
40,131,3,37,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0606048,10.1933407266812,0.0153117584880694,37.4656845936636,0,0,1.0580546,0.997595522856393,0,0
41,132,3,38,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8,1.099805,11.1030957823375,0.0147891851738661,36.540912550649,0,0,1.0479383,0.952840094380368,1,-48.3897934140879
42,133,3,39,5C_67PER_4C_NEWSTRUCTURE,5,67,4,1.0726566,10.1268713745261,0.016020166975181,36.2175029820195,0,0,1.0708532,0.99831875364399,0,0.781960749661397
43,134,3,40,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4,1.0515106,10.1135283477634,0.0156783308831169,35.02828334614,0,0,1.048004,0.996665178648698,0,-1.00589281674422
44,135,3,41,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19,4.6,1.0638335,10.275761475891,0.0154024676779874,35.6420392179827,0,0,1.0598956,0.996298386918629,0,-1.40246987227455
45,136,3,42,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36,4.3,1.0548838,10.2448038980892,0.0184627738942675,34.7929750807789,0,0,1.0514336,0.996729308005299,0,-0.936555835212721
46,137,3,43,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8,1.0699885,11.1688661019703,0.0160106622023157,34.7899428590273,0,0,1.0676856,0.997847733877514,0,0.272691819168261
47,138,3,44,5C_67PER_4C_NEWSTRUCTURE,5,67,4,1.073334,10.1793261977671,0.0159244541636364,35.4303828599364,0,0,1.0708117,0.997650032515508,0,0.0589361164321118
48,139,3,45,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54,4,1.0739049,10.1638524955626,0.0156670028477103,34.4465209353796,0,0,1.0703323,0.996673262222754,0,-0.997152815991114
49,140,3,46,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80,4.8,1.0721447,11.1468243490742,0.0156723353866667,33.7223749238768,0,0,1.0701143,0.998106225773443,0,0.552174551635674
