PolicyA,PolicyB,Cycle,Difference_AminusB,PointwiseCI95Low,PointwiseCI95High,SimultaneousCI95Low,SimultaneousCI95High,SignificantSimultaneous
3_6C-80PER_3_6C,80PER_3_6C,14,0.0018071867453001156,-0.0019386763206461488,0.005553049811246491,-0.012898492456227428,0.01651286594682766,False
3_6C-80PER_3_6C,80PER_3_6C,15,0.0019668603190818867,-0.0018985413235685922,0.0058322619617318106,-0.012738818882445657,0.01667253952060943,False
3_6C-80PER_3_6C,80PER_3_6C,16,0.0021216289611446504,-0.0018595422437384101,0.006102800166027378,-0.012584050240382894,0.016827308162672194,False
3_6C-80PER_3_6C,80PER_3_6C,17,0.0022716310954272734,-0.0018216561280608445,0.006364918318915613,-0.01243404810610027,0.016977310296954817,False
3_6C-80PER_3_6C,80PER_3_6C,18,0.0024170051458686226,-0.001784860023440582,0.006618870315178049,-0.012288674055658921,0.017122684347396167,False
3_6C-80PER_3_6C,80PER_3_6C,19,0.002557889536407454,-0.0017491309767818652,0.006864910049596884,-0.01214778966512009,0.017263568737934998,False
3_6C-80PER_3_6C,80PER_3_6C,20,0.002694422690982079,-0.001714446034990158,0.007103291416954871,-0.012011256510545465,0.017400101892509623,False
3_6C-80PER_3_6C,80PER_3_6C,21,0.002826743033531698,-0.001680782244970147,0.007334268312033765,-0.011878936167995846,0.017532422235059242,False
3_6C-80PER_3_6C,80PER_3_6C,22,0.0029549889879949554,-0.001648116653626186,0.007558094629616097,-0.011750690213532589,0.0176606681895225,False
3_6C-80PER_3_6C,80PER_3_6C,23,0.003079298978310163,-0.0016164263078632946,0.007775024264483621,-0.01162638022321738,0.017784978179837707,False
3_6C-80PER_3_6C,80PER_3_6C,24,0.0031998114284164103,-0.0015856882545860485,0.007985311111419424,-0.011505867773111134,0.017905490629943954,False
3_6C-80PER_3_6C,80PER_3_6C,25,0.0033166647622527856,-0.0015558795406993564,0.008189209065204595,-0.011389014439274758,0.01802234396378033,False
3_6C-80PER_3_6C,80PER_3_6C,26,0.0034299974037569347,-0.0015269772131080162,0.008386972020622219,-0.01127568179777061,0.01813567660528448,False
3_6C-80PER_3_6C,80PER_3_6C,27,0.0035399477768683907,-0.0014989583187167144,0.008578853872453829,-0.011165731424659153,0.018245626978395935,False
3_6C-80PER_3_6C,80PER_3_6C,28,0.0036466543055261313,-0.0014717999044301378,0.0087651085154824,-0.011059024896001413,0.018352333507053675,False
3_6C-80PER_3_6C,80PER_3_6C,29,0.0037502554136679134,-0.001445479017153306,0.008945989844489355,-0.01095542378785963,0.018455934615195457,False
3_6C-80PER_3_6C,80PER_3_6C,30,0.0038508895252331587,-0.001419972703790462,0.009121751754257224,-0.010854789676294385,0.018556568726760703,False
3_6C-80PER_3_6C,80PER_3_6C,31,0.003948695064160845,-0.0013952580112468471,0.009292648139568427,-0.010756984137366699,0.01865437426568839,False
3_6C-80PER_3_6C,80PER_3_6C,32,0.004043810454388841,-0.0013713119864270373,0.009458932895204608,-0.010661868747138703,0.018749489655916385,False
3_6C-80PER_3_6C,80PER_3_6C,33,0.004136374119856234,-0.0013481116762359413,0.00962085991594852,-0.01056930508167131,0.018842053321383778,False
3_6C-80PER_3_6C,80PER_3_6C,34,0.004226524484502225,-0.0013256341275779127,0.00977868309658203,-0.010479154717025319,0.01893220368602977,False
3_6C-80PER_3_6C,80PER_3_6C,35,0.004314399972264793,-0.0013038563873583042,0.009932656331887446,-0.010391279229262751,0.019020079173792337,False
3_6C-80PER_3_6C,80PER_3_6C,36,0.004400139007082693,-0.0012827555024815807,0.010083033516647188,-0.010305540194444851,0.019105818208610237,False
3_6C-80PER_3_6C,80PER_3_6C,37,0.004483880012895236,-0.0012623085198518735,0.010230068545643012,-0.010221799188632308,0.01918955921442278,False
3_6C-80PER_3_6C,80PER_3_6C,38,0.004565761413641178,-0.0012424924863752018,0.010374015313657559,-0.010139917787886366,0.019271440615168722,False
3_6C-80PER_3_6C,80PER_3_6C,39,0.0046459216332586095,-0.001223284448955364,0.010515127715472916,-0.010059757568268934,0.019351600834786153,False
3_6C-80PER_3_6C,80PER_3_6C,40,0.004724499095686396,-0.001204661454497602,0.01065365964587095,-0.009981180105841148,0.01943017829721394,False
3_6C-80PER_3_6C,80PER_3_6C,41,0.00480163222486385,-0.0011866005499063803,0.01078986499963408,-0.009904046976663694,0.019507311426391394,False
3_6C-80PER_3_6C,80PER_3_6C,42,0.00487745944472906,-0.0011690787820867188,0.01092399767154495,-0.009828219756798484,0.019583138646256604,False
3_6C-80PER_3_6C,80PER_3_6C,43,0.004952119179221004,-0.001152073197942749,0.01105631155638509,-0.00975356002230654,0.019657798380748548,False
3_6C-80PER_3_6C,80PER_3_6C,44,0.005025749852278327,-0.0011355608443802678,0.011187060548936811,-0.009679929349249217,0.01973142905380587,False
3_6C-80PER_3_6C,80PER_3_6C,45,0.0050984898878397855,-0.0011195187683031849,0.011316498543982756,-0.009607189313687758,0.01980416908936733,False
3_6C-80PER_3_6C,80PER_3_6C,46,0.0051704777098438015,-0.0011039240166167419,0.011444879436304789,-0.009535201491683742,0.019876156911371345,False
3_6C-80PER_3_6C,80PER_3_6C,47,0.005241851742229908,-0.0010887536362252925,0.011572457120684998,-0.009463827459297636,0.019947530943757452,False
3_6C-80PER_3_6C,80PER_3_6C,48,0.005312750408935862,-0.0010739846740339676,0.011699485491905692,-0.009392928792591682,0.020018429610463406,False
3_6C-80PER_3_6C,80PER_3_6C,49,0.005383312133900975,-0.0010595941769468986,0.011826218444749403,-0.009322367067626569,0.02008899133542852,False
3_6C-80PER_3_6C,80PER_3_6C,50,0.0054536753410637795,-0.0010455591918699936,0.011952909873998219,-0.009252003860463764,0.020159354542591323,False
3_6C-80PER_3_6C,80PER_3_6C,51,0.0055239558044613,-0.001031859353112119,0.012079770962035052,-0.009181723397066244,0.020229635005988844,False
3_6C-80PER_3_6C,80PER_3_6C,52,0.0055941786985210795,-0.0010184846446052997,0.01220684204164768,-0.009111500503006464,0.020299857900048623,False
3_6C-80PER_3_6C,80PER_3_6C,53,0.005664346547769594,-0.0010054276376857407,0.012334120733225373,-0.00904133265375795,0.020370025749297138,False
3_6C-80PER_3_6C,80PER_3_6C,54,0.00573446187673321,-0.0009926809036896467,0.012461604657156178,-0.008971217324794334,0.020440141078260754,False
3_6C-80PER_3_6C,80PER_3_6C,55,0.005804527209937627,-0.0009802370139542216,0.012589291433829475,-0.008901151991589917,0.02051020641146517,False
3_6C-80PER_3_6C,80PER_3_6C,56,0.00587454507190921,-0.0009680885398153372,0.012717178683633867,-0.008831134129618334,0.020580224273436754,False
3_6C-80PER_3_6C,80PER_3_6C,57,0.005944517987173992,-0.0009562280526103084,0.012845264026958514,-0.008761161214353552,0.020650197188701536,False
3_6C-80PER_3_6C,80PER_3_6C,58,0.006014448480258117,-0.000944648123674674,0.012973545084191462,-0.008691230721269427,0.02072012768178566,False
3_6C-80PER_3_6C,80PER_3_6C,59,0.006084339075688061,-0.0009333413243458599,0.013102019475722204,-0.008621340125839483,0.020790018277215605,False
3_6C-80PER_3_6C,80PER_3_6C,60,0.006154192297989747,-0.00092230022595996,0.01323068482193901,-0.008551486903537797,0.02085987149951729,False
3_6C-80PER_3_6C,80PER_3_6C,61,0.006224010671688651,-0.0009115173998530679,0.013359538743231147,-0.008481668529838893,0.020929689873216195,False
3_6C-80PER_3_6C,80PER_3_6C,62,0.006293796721312028,-0.0009009854173626097,0.013488578859987332,-0.008411882480215516,0.020999475922839572,False
3_6C-80PER_3_6C,80PER_3_6C,63,0.0063635529713852446,-0.0008906968498247902,0.013617802792595612,-0.0083421262301423,0.02106923217291279,False
3_6C-80PER_3_6C,80PER_3_6C,64,0.006433281946434777,-0.0008806442685754812,0.013747208161445812,-0.008272397255092767,0.02113896114796232,False
3_6C-80PER_3_6C,80PER_3_6C,65,0.006502986170986991,-0.0008708202449524416,0.01387679258692609,-0.008202693030540553,0.021208665372514535,False
3_6C-80PER_3_6C,80PER_3_6C,66,0.006572668169567364,-0.0008612173502909881,0.014006553689425716,-0.00813301103196018,0.021278347371094908,False
3_6C-80PER_3_6C,80PER_3_6C,67,0.006642330466702151,-0.0008518281559281027,0.014136489089332738,-0.008063348734825393,0.021348009668229695,False
3_6C-80PER_3_6C,80PER_3_6C,68,0.006711975586918051,-0.0008426452332004342,0.014266596407036869,-0.007993703614609493,0.021417654788445595,False
3_6C-80PER_3_6C,80PER_3_6C,69,0.006781606054740652,-0.0008336611534447425,0.014396873262925935,-0.007924073146786892,0.021487285256268196,False
3_6C-80PER_3_6C,80PER_3_6C,70,0.006851224394696209,-0.0008248684879968993,0.01452731727738965,-0.007854454806831335,0.021556903596223753,False
3_6C-80PER_3_6C,80PER_3_6C,71,0.00692083313131131,-0.0008162598081939976,0.014657926070816285,-0.007784846070216234,0.021626512332838854,False
3_6C-80PER_3_6C,80PER_3_6C,72,0.006990434789111322,-0.0008078276853722421,0.014788697263595108,-0.007715244412416222,0.021696113990638866,False
3_6C-80PER_3_6C,80PER_3_6C,73,0.007060031892622942,-0.0007995646908679488,0.014919628476114277,-0.007645647308904602,0.021765711094150486,False
3_6C-80PER_3_6C,80PER_3_6C,74,0.0071296269663722045,-0.0007914633960183215,0.01505071732876273,-0.007576052235155339,0.02183530616789975,False
3_6C-80PER_3_6C,80PER_3_6C,75,0.00719922253488503,-0.000783516372159343,0.015181961441929404,-0.007506456666642514,0.021904901736412574,False
3_6C-80PER_3_6C,80PER_3_6C,76,0.007268821122687785,-0.0007757161906278842,0.015313358436003344,-0.007436858078839759,0.02197450032421533,False
3_6C-80PER_3_6C,80PER_3_6C,77,0.007338425254306391,-0.0007680554227601499,0.015444905931372821,-0.007367253947221153,0.022044104455833935,False
3_6C-80PER_3_6C,80PER_3_6C,78,0.007408037454266991,-0.000760526639892789,0.015576601548427216,-0.007297641747260553,0.022113716655794535,False
3_6C-80PER_3_6C,80PER_3_6C,79,0.007477660247096063,-0.0007531224133621173,0.015708442907554687,-0.007228018954431481,0.022183339448623607,False
3_6C-80PER_3_6C,80PER_3_6C,80,0.007547296157319527,-0.0007458353145053387,0.015840427629144394,-0.0071583830442080165,0.02225297535884707,False
3_6C-80PER_3_6C,80PER_3_6C,81,0.0076169477094636395,-0.000738657914658214,0.01597255333358505,-0.007088731492063904,0.022322626910991183,False
3_6C-80PER_3_6C,80PER_3_6C,82,0.007686617428054099,-0.000731582785157836,0.01610481764126581,-0.007019061773473445,0.022392296629581643,False
3_6C-80PER_3_6C,80PER_3_6C,83,0.007756307837617271,-0.0007246024973398546,0.016237218172575063,-0.006949371363910273,0.022461987039144815,False
3_6C-80PER_3_6C,80PER_3_6C,84,0.007826021462679744,-0.0007177096225418067,0.016369752547901517,-0.0068796577388478,0.022531700664207288,False
3_6C-80PER_3_6C,80PER_3_6C,85,0.007895760827767107,-0.0007108967320996751,0.016502418387634332,-0.006809918373760437,0.02260144002929465,False
3_6C-80PER_3_6C,80PER_3_6C,86,0.007965528457405724,-0.0007041563973504417,0.01663521331216189,-0.00674015074412182,0.022671207658933268,False
3_6C-80PER_3_6C,80PER_3_6C,87,0.008035326876121629,-0.0006974811896297561,0.016768134941873125,-0.006670352325405915,0.022741006077649173,False
3_6C-80PER_3_6C,80PER_3_6C,88,0.008105158608440743,-0.0006908636802751555,0.016901180897157086,-0.0066005205930868005,0.022810837809968287,False
3_6C-80PER_3_6C,80PER_3_6C,89,0.008175026178889877,-0.0006842964406227336,0.017034348798402044,-0.006530653022637667,0.02288070538041742,False
3_6C-80PER_3_6C,80PER_3_6C,90,0.008244932111994285,-0.0006777720420084732,0.017167636265997488,-0.006460747089533259,0.02295061131352183,False
3_6C-80PER_3_6C,80PER_3_6C,91,0.008314878932281111,-0.0006712830557699112,0.01730104092033191,-0.006390800269246433,0.023020558133808655,False
3_6C-80PER_3_6C,80PER_3_6C,92,0.008384869164275277,-0.0006648220532426974,0.017434560381793807,-0.006320810037252267,0.02309054836580282,False
3_6C-80PER_3_6C,80PER_3_6C,93,0.00845490533250437,-0.0006583816057642577,0.01756819227077233,-0.006250773869023174,0.023160584534031914,False
3_6C-80PER_3_6C,80PER_3_6C,94,0.008524989961493312,-0.0006519542846699089,0.017701934207656533,-0.006180689240034232,0.023230669163020856,False
3_6C-80PER_3_6C,80PER_3_6C,95,0.008595125575768692,-0.0006455326612972989,0.01783578381283424,-0.006110553625758852,0.023300804777296236,False
3_6C-80PER_3_6C,80PER_3_6C,96,0.00866531469985643,-0.0006391093069821885,0.01796973870669527,-0.006040364501671114,0.023370993901383974,False
3_6C-80PER_3_6C,80PER_3_6C,97,0.008735559858282893,-0.0006326767930615596,0.0181037965096279,-0.005970119343244651,0.023441239059810437,False
3_6C-80PER_3_6C,80PER_3_6C,98,0.008805863575574335,-0.0006262276908718389,0.018237954842020954,-0.005899815625953209,0.02351154277710188,False
3_6C-80PER_3_6C,80PER_3_6C,99,0.00887622837625679,-0.0006197545717495645,0.01837221132426292,-0.005829450825270754,0.023581907577784333,False
3_6C-80PER_3_6C,80PER_3_6C,100,0.008946656784855955,-0.000613250007030941,0.018506563576743407,-0.005759022416671589,0.0236523359863835,False
3_6C-80PER_3_6C,80PER_3_6C,101,0.009017151248854938,-0.0006067063520603933,0.018641008849770713,-0.005688527952672606,0.02372283045038248,False
3_6C-80PER_3_6C,80PER_3_6C,102,0.009087713907561579,-0.0006001150982123393,0.018775542913335497,-0.005617965293965965,0.023793393109089123,False
3_6C-80PER_3_6C,80PER_3_6C,103,0.009158346823239238,-0.0005934675208681961,0.018910161167346562,-0.0055473323782883055,0.023864026024766782,False
3_6C-80PER_3_6C,80PER_3_6C,104,0.009229052058152942,-0.0005867548954090474,0.019044859011715265,-0.005476627143374602,0.023934731259680486,False
3_6C-80PER_3_6C,80PER_3_6C,105,0.009299831674566272,-0.0005799684972177532,0.019179631846351186,-0.005405847526961272,0.024005510876093816,False
3_6C-80PER_3_6C,80PER_3_6C,106,0.00937068773474381,-0.0005730996016755086,0.019314475071163795,-0.005334991466783734,0.024076366936271354,False
3_6C-80PER_3_6C,80PER_3_6C,107,0.009441622300949692,-0.0005661394841645073,0.019449384086064003,-0.0052640569005778515,0.024147301502477236,False
3_6C-80PER_3_6C,80PER_3_6C,108,0.009512637435447835,-0.0005590794200659444,0.019584354290961947,-0.005193041766079709,0.02421831663697538,False
3_6C-80PER_3_6C,80PER_3_6C,109,0.009583735200502708,-0.0005519106847616806,0.019719381085766763,-0.005121944001024836,0.02428941440203025,False
3_6C-80PER_3_6C,80PER_3_6C,110,0.00965491765837767,-0.000544624553633577,0.01985445987038925,-0.005050761543149873,0.024360596859905215,False
3_6C-80PER_3_6C,80PER_3_6C,111,0.009726186871338083,-0.0005372123020633834,0.01998958604473966,-0.004979492330189461,0.024431866072865627,False
3_6C-80PER_3_6C,80PER_3_6C,112,0.009797544901647082,-0.0005296652054329609,0.020124755008727346,-0.004908134299880462,0.024503224103174626,False
3_6C-80PER_3_6C,80PER_3_6C,113,0.00986899381156947,-0.0005219745391240593,0.02025996216226278,-0.004836685389958073,0.024574673013097015,False
3_6C-80PER_3_6C,80PER_3_6C,114,0.009940535663369165,-0.0005141315785180955,0.020395202905256316,-0.004765143538158378,0.02464621486489671,False
3_6C-80PER_3_6C,80PER_3_6C,115,0.01001217251931008,-0.0005061275989972636,0.020530472637617758,-0.004693506682217463,0.024717851720837625,False
3_6C-80PER_3_6C,80PER_3_6C,116,0.01008390644165702,-0.0004979538759429802,0.0206657667592568,-0.004621772759870524,0.024789585643184564,False
3_6C-80PER_3_6C,80PER_3_6C,117,0.010155739492673566,-0.0004896016847368845,0.02080108067008435,-0.004549939708853978,0.02486141869420111,False
3_6C-80PER_3_6C,80PER_3_6C,118,0.010227673734624299,-0.00048106230076105927,0.020936409770009767,-0.004478005466903245,0.024933352936151842,False
3_6C-80PER_3_6C,80PER_3_6C,119,0.010299711229773134,-0.0004723269993970325,0.0210717494589433,-0.00440596797175441,0.025005390431300678,False
3_6C-80PER_3_6C,80PER_3_6C,120,0.01037185404038421,-0.00046338705602699815,0.021207095136795306,-0.004333825161143334,0.025077533241911754,False
3_6C-80PER_3_6C,80PER_3_6C,121,0.010444104228721662,-0.00045423374603204003,0.021342442203475143,-0.004261574972805882,0.025149783430249206,False
3_6C-80PER_3_6C,80PER_3_6C,122,0.010516463857049962,-0.0004448583447940191,0.021477786058893722,-0.0041892153444775815,0.025222143058577506,False
3_6C-80PER_3_6C,80PER_3_6C,123,0.010588934987632692,-0.0004352521276950183,0.02161312210296107,-0.004116744213894852,0.025294614189160236,False
3_6C-80PER_3_6C,80PER_3_6C,124,0.010661519682734655,-0.00042540637011689864,0.02174844573558643,-0.004044159518792889,0.0253671988842622,False
3_6C-80PER_3_6C,80PER_3_6C,125,0.010734220004619766,-0.0004153123474410769,0.021883752356680608,-0.003971459196907778,0.02543989920614731,False
3_6C-80PER_3_6C,80PER_3_6C,126,0.01080703801555205,-0.00040496133504919207,0.022019037366153293,-0.0038986411859754933,0.025512717217079595,False
3_6C-80PER_3_6C,80PER_3_6C,127,0.01087997577779587,-0.00039434460832332707,0.022154296163915177,-0.0038257034237316745,0.025585654979323413,False
3_6C-80PER_3_6C,80PER_3_6C,128,0.010953035353615359,-0.00038345344264478776,0.022289524149875284,-0.003752643847912185,0.025658714555142903,False
3_6C-80PER_3_6C,80PER_3_6C,129,0.011026218805274546,-0.00037227911339587916,0.022424716723945193,-0.003679460396252998,0.02573189800680209,False
3_6C-80PER_3_6C,80PER_3_6C,130,0.011099528195037678,-0.0003608128959577961,0.022559869286033485,-0.003606151006489866,0.025805207396565222,False
3_6C-80PER_3_6C,80PER_3_6C,131,0.011172965585168781,-0.0003490460657129546,0.022694977236050518,-0.0035327136163587625,0.025878644786696325,False
3_6C-80PER_3_6C,80PER_3_6C,132,0.011246533037932105,-0.00033696989804266053,0.022830035973907314,-0.003459146163595439,0.02595221223945965,False
3_6C-80PER_3_6C,80PER_3_6C,133,0.011320232615592118,-0.00032457566832888585,0.0229650408995129,-0.0033854465859354255,0.026025911817119662,False
3_6C-80PER_3_6C,80PER_3_6C,134,0.011394066380412737,-0.00031185465195271433,0.023099987412777967,-0.0033116128211148066,0.02609974558194028,False
3_6C-80PER_3_6C,80PER_3_6C,135,0.011468036394657766,-0.00029879812429656205,0.023234870913612204,-0.0032376428068697782,0.02617371559618531,False
3_6C-80PER_3_6C,80PER_3_6C,136,0.011542144720592007,-0.0002853973607419569,0.023369686801926193,-0.003163534480935537,0.02624782392211955,False
3_6C-80PER_3_6C,80PER_3_6C,137,0.011616393420479154,-0.0002716436366710928,0.02350443047762929,-0.00308928578104839,0.026322072622006698,False
3_6C-80PER_3_6C,80PER_3_6C,138,0.011690784556583678,-0.0002575282274647206,0.023639097340632187,-0.0030148946449438663,0.02639646375811122,False
3_6C-80PER_3_6C,80PER_3_6C,139,0.011765320191169493,-0.00024304240850570036,0.023773682790844353,-0.0029403590103580513,0.026470999392697037,False
3_6C-80PER_3_6C,80PER_3_6C,140,0.011840002386500847,-0.00022817745517478283,0.02390818222817681,-0.0028656768150266965,0.02654568158802839,False
3_6C-80PER_3_6C,80PER_3_6C,141,0.01191483320484188,-0.0002129246428550502,0.024042591052538698,-0.0027908459966856647,0.026620512406369423,False
3_6C-80PER_3_6C,80PER_3_6C,142,0.011989814708456836,-0.000197275246926365,0.02417690466384037,-0.0027158644930707077,0.02669549390998438,False
3_6C-80PER_3_6C,80PER_3_6C,143,0.012064948959609856,-0.00018122054277225352,0.024311118461992187,-0.002640730241917688,0.0267706281611374,False
3_6C-80PER_3_6C,80PER_3_6C,144,0.012140238020565186,-0.00016475180577335546,0.024445227846903728,-0.002565441180962358,0.02684591722209273,False
3_6C-80PER_3_6C,80PER_3_6C,145,0.012215683953586853,-0.0001478603113117538,0.024579228218485683,-0.0024899952479406906,0.026921363155114397,False
3_6C-80PER_3_6C,80PER_3_6C,146,0.012291288820939106,-0.00013053733476897644,0.0247131149766473,-0.002414390380588438,0.02699696802246665,False
3_6C-80PER_3_6C,80PER_3_6C,147,0.012367054684885859,-0.00011277415152755044,0.0248468835212996,-0.0023386245166416852,0.027072733886413403,False
3_6C-80PER_3_6C,80PER_3_6C,148,0.012442983607691693,-9.45620369686706e-05,0.024980529252352057,-0.0022626955938358506,0.027148662809219237,False
3_6C-80PER_3_6C,80PER_3_6C,149,0.012519077651620303,-7.589226647386482e-05,0.025114047569715026,-0.002186601549907241,0.027224756853147847,False
3_6C-80PER_3_6C,80PER_3_6C,150,0.012595338878936269,-5.675611542554915e-05,0.025247433873298197,-0.0021103403225912754,0.027301018080463813,False
3_6C-80PER_3_6C,80PER_3_6C,151,0.012671765620902775,-3.714639856366997e-05,0.02538067764036922,-0.002033913580624769,0.02737744482243032,False
3_6C-80PER_3_6C,80PER_3_6C,152,0.012748341284780085,-1.706208806695475e-05,0.025513744657627235,-0.001957337916747459,0.02745402048630763,False
3_6C-80PER_3_6C,80PER_3_6C,153,0.012825045546827174,3.4963045271174664e-06,0.025646594789127564,-0.00188063365470037,0.027530724748354718,False
3_6C-80PER_3_6C,80PER_3_6C,154,0.012901858083303797,2.452826768117866e-05,0.025779187898926303,-0.0018038211182237474,0.02760753728483134,False
3_6C-80PER_3_6C,80PER_3_6C,155,0.012978758570468929,4.6033289858860016e-05,0.025911483851079442,-0.001726920631058615,0.027684437771996473,False
3_6C-80PER_3_6C,80PER_3_6C,156,0.013055726684582325,6.801085952179431e-05,0.026043442509643078,-0.001649952516945219,0.02776140588610987,False
3_6C-80PER_3_6C,80PER_3_6C,157,0.013132742101903405,9.046046513372374e-05,0.02617502373867331,-0.0015729370996241387,0.02783842130343095,False
3_6C-80PER_3_6C,80PER_3_6C,158,0.013209784498690924,0.00011338159515639212,0.026306187402225456,-0.0014958947028366198,0.027915463700218468,False
3_6C-80PER_3_6C,80PER_3_6C,159,0.013286833551204746,0.00013677373805320858,0.026436893364356284,-0.0014188456503227975,0.02799251275273229,False
3_6C-80PER_3_6C,80PER_3_6C,160,0.013363868935703849,0.00016063638228613897,0.02656710148912178,-0.0013418102658236952,0.028069548137231393,False
3_6C-80PER_3_6C,80PER_3_6C,161,0.013440870328447874,0.00018496901631870344,0.026696771640576822,-0.0012648088730796703,0.028146549529975418,False
3_6C-80PER_3_6C,80PER_3_6C,162,0.01351781740569602,0.000209771128613645,0.02682586368277884,-0.001187861795831524,0.028223496607223564,False
3_6C-80PER_3_6C,80PER_3_6C,163,0.013594689843707708,0.00023504220763270744,0.02695433747978271,-0.001110989357819836,0.028300369045235252,False
3_6C-80PER_3_6C,80PER_3_6C,164,0.013671467318742359,0.000260781741839744,0.027082152895645306,-0.0010342118827851854,0.028377146520269902,False
3_6C-80PER_3_6C,80PER_3_6C,165,0.013748129507058948,0.00028698921969627644,0.02720926979442173,-0.0009575496944685957,0.028453808708586492,False
3_6C-80PER_3_6C,80PER_3_6C,166,0.01382465608491723,0.000313664129666158,0.027335648040168636,-0.0008810231166103133,0.028530335286444775,False
3_6C-80PER_3_6C,80PER_3_6C,167,0.013901026728576404,0.0003408059602111324,0.0274612474969419,-0.0008046524729511395,0.02860670593010395,False
3_6C-80PER_3_6C,80PER_3_6C,168,0.01397722111429578,0.0003684141997947199,0.02758602802879695,-0.0007284580872317648,0.028682900315823323,False
3_6C-80PER_3_6C,80PER_3_6C,169,0.014053218918334776,0.0003964883368789973,0.027709949499790443,-0.0006524602831927684,0.02875889811986232,False
3_6C-80PER_3_6C,80PER_3_6C,170,0.014128999816952814,0.0004250278599273738,0.027832971773978032,-0.0005766793845747298,0.028834679018480358,False
3_6C-80PER_3_6C,80PER_3_6C,171,0.01420454348640876,0.00045403225740159314,0.02795505471541604,-0.0005011357151187834,0.028910222687936304,False
3_6C-80PER_3_6C,80PER_3_6C,172,0.014279829602962701,0.0004835010177655086,0.02807615818816034,-0.0004258495985648425,0.028985508804490245,False
3_6C-80PER_3_6C,80PER_3_6C,173,0.014354837842873502,0.0005134336294807529,0.028196242056266252,-0.00035084135865404154,0.029060517044401046,False
3_6C-80PER_3_6C,80PER_3_6C,174,0.014429547882400473,0.0005438295810107352,0.028315266183790655,-0.0002761313191270709,0.029135227083928017,False
3_6C-80PER_3_6C,80PER_3_6C,175,0.014503939397803367,0.0005746883608177544,0.028433190434788758,-0.00020173980372417688,0.02920961859933091,False
3_6C-80PER_3_6C,80PER_3_6C,176,0.01457799206534105,0.0006060094573651087,0.028549974673317546,-0.00012768713618649397,0.029283671266868594,False
3_6C-80PER_3_6C,80PER_3_6C,177,0.014651685561273164,0.0006377923591146528,0.028665578763431676,-5.399364025437947e-05,0.02935736476280071,False
3_6C-80PER_3_6C,80PER_3_6C,178,0.01472499956185902,0.0006700365545296849,0.028779962569188022,1.9320360331476216e-05,0.029430678763386564,True
3_6C-80PER_3_6C,80PER_3_6C,179,0.014797913743357816,0.000702741532072948,0.028893085954642683,9.223454183027169e-05,0.02950359294488536,True
3_6C-80PER_3_6C,80PER_3_6C,180,0.014870407782028972,0.000735906780206963,0.029004908783851535,0.00016472858050142758,0.029576086983556515,True
3_6C-80PER_3_6C,80PER_3_6C,181,0.01494246135413213,0.0007695317873942509,0.02911539092087012,0.00023678215260458657,0.029648140555659674,True
3_6C-80PER_3_6C,80PER_3_6C,182,0.015014054135925936,0.0008036160420979988,0.02922449222975476,0.00030837493439839214,0.02971973333745348,True
3_6C-80PER_3_6C,80PER_3_6C,183,0.015085165803670697,0.0008381590327806165,0.029332172574561,0.0003794866021431531,0.02979084500519824,True
3_6C-80PER_3_6C,80PER_3_6C,184,0.015155776033624724,0.0008731602479047362,0.0294383918193456,0.0004500968320971799,0.029861455235152268,True
